first_name,last_name,email,company_name,cf_id,description,end_date,left_of_goal
Calogero,Cross,calogero.cross@mercantini.it,Warren Ltd,968,Distributed system-worthy application,2021-09-21,153288.00
Lauretta,Neal,lauretta.neal@hotmail.de,Foley-Cox,2284,Progressive zero administration leverage,2022-01-13,151747.00
Chantal,Armas,chantal.armas@jenkins.net,Mcmillan Group,1572,Advanced cohesive Graphic Interface,2021-12-29,98164.00
Ariadna,Geisel,ariadna.geisel@rangel.com,Nunez-Richards,1114,Exclusive attitude-oriented intranet,2021-03-10,88154.00
Mathilde,Kruschwitz,mathilde.kruschwitz@yahoo.com,Willis and Sons,1911,Fundamental incremental database,2021-06-16,72323.00
Guillermina,Nicholson,guillermina.nicholson@grondin.fr,Rush-Bowers,563,Persevering analyzing extranet,2021-12-26,71872.00
Henry,Gucci,henry.gucci@leleu.fr,Parker PLC,238,Reduced interactive matrix,2021-07-21,41198.00
Gabriela,Padilla,gabriela.padilla@pearson-russell.com,Parker-Morris,2510,Assimilated next generation instruction set,2021-02-23,40291.00
Svenja,Perrin,svenja.perrin@berger.com,Berry-Richardson,65,Automated zero tolerance implementation,2021-05-29,8362.00
Caroline,Reeves,caroline.reeves@yahoo.com,Barnes-Williams,2882,Upgradable explicit forecast,2021-12-02,3768.00
Katarina,Clarke,katarina.clarke@hotmail.com.au,Wiggins Ltd,910,Upgradable analyzing core,2021-11-24,3739.00
Imelda,Guerin,imelda.guerin@stumpf.net,Burns-Burnett,948,Front-line scalable definition,2021-05-19,1559.00
Danny,Farrell,danny.farrell@hotmail.com,Cooper Inc,2488,Polarized discrete product,2021-03-21,1503.00
Tobias,Carbajal,tobias.carbajal@live.com,Joyce PLC,3138,Synchronized directional capability,2021-05-18,426.00
